Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000001,3,00041,0,B,2,02,1,430,0,1,1,000,063,1,0,1,00
200500000002,2,00041,0,,0,02,0,0,1,1,1,000,100,1,0,5,00
200500000003,2,00041,0,,0,00,0,0,1,1,1,000,000,2,0,5,00
200500000004,3,00916,0,,2,02,0,0,0,1,1,000,000,1,0,1,00
200500000005,3,00110,0,,2,02,24,630,0,1,3,000,059,2,0,3,00
200500000006,3,00916,0,,2,02,47,0,0,1,3,000,070,2,0,5,00
200500000007,3,00600,0,,2,00,6,638,0,1,1,000,078,1,0,1,00
200500000008,3,00947,0,,2,02,53,900,0,1,3,000,069,1,0,3,00
200500000009,3,00055,0,,2,02,3,200,0,0,1,000,067,1,0,1,00
200500000010,2,00001,0,,0,02,32,13,0,1,1,000,070,2,0,1,00
200500000011,2,00042,0,,2,02,1,860,0,1,1,000,075,0,0,1,00
200500000012,3,00945,0,,2,02,3,600,0,1,1,000,090,2,0,4,00
200500000013,3,00916,0,,2,02,25,500,0,1,3,000,071,1,0,3,00
200500000014,3,00945,0,,2,00,0,0,0,0,1,000,059,2,0,1,00
200500000015,3,00002,0,,2,02,0,0,0,1,1,000,106,2,0,1,00
200500000016,3,00368,0,,2,02,1,800,0,1,1,000,057,9,0,1,00
200500000017,3,00124,0,,2,00,14,200,0,2,1,000,058,2,0,1,00
200500000018,3,00021,0,,2,02,0,0,0,2,3,000,065,7,0,1,00
200500000019,4,00000,0,,0,01,0,0,0,1,1,000,000,1,5,1,00
200500000020,4,00000,0,,2,02,0,0,0,1,3,000,000,2,0,1,00
200500000021,3,00016,0,,2,00,0,0,0,0,1,000,069,1,0,1,00
200500000022,2,00030,0,,2,02,4,700,0,1,1,000,000,1,0,1,00
200500000023,3,00158,0,A,0,00,0,0,0,1,1,000,062,1,0,1,00
200500000024,3,00963,0,,2,02,28,660,0,1,2,000,055,7,0,1,00
200500000025,3,00015,0,,2,00,4,450,0,0,1,000,075,1,0,1,00
200500000026,2,00039,0,,3,02,0,0,1,1,1,044,075,2,0,5,00
200500000027,2,00017,0,,2,02,0,0,0,3,1,000,072,1,0,1,00
200500000028,2,00043,0,,2,02,0,0,3,0,1,000,068,2,5,1,00
200500000029,3,00015,0,E,2,02,25,900,0,2,3,000,064,2,0,1,00
200500000030,3,00037,0,,2,00,0,0,0,0,1,000,050,1,0,1,00
200500000031,3,00039,0,,2,00,0,0,0,2,1,000,060,2,0,1,00
200500000032,3,00937,0,,2,00,40,160,0,1,1,000,710,2,0,1,00
200500000033,4,00001,0,,2,00,0,0,0,1,1,000,040,1,0,3,00
