Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
200500000001,1,1,4,1,1,11,0,0,0,1976,A01
200500000001,1,1,3,2,3,11,0,0,0,1968,B02
200500000001,2,2,1,1,0,11,0,0,0,1964,B02
200500000001,4,2,1,1,0,31,0,0,0,2004,B02
200500000001,5,2,1,1,0,11,0,0,0,1998,B02
200500000001,3,2,1,2,0,11,0,0,0,1991,B02
200500000002,1,1,1,1,5,11,0,0,0,1955,A01
200500000002,1,1,3,1,5,21,0,0,0,1979,B02
200500000003,1,1,1,1,1,21,0,0,0,1983,A01
200500000003,1,1,3,1,1,21,0,0,0,1956,B02
200500000004,1,1,3,1,5,11,0,0,0,1920,A01
200500000004,2,2,3,2,0,11,0,0,0,1923,A01
200500000004,1,1,4,1,1,11,0,0,0,1964,B02
200500000004,1,1,4,2,3,11,0,0,0,1972,C03
200500000005,1,1,3,1,5,11,0,0,0,1949,A01
200500000005,2,2,4,1,0,11,0,0,0,1990,A01
200500000006,1,1,2,2,9,11,0,0,0,1951,A01
200500000007,1,1,4,1,5,11,0,0,0,1983,A01
200500000007,1,1,1,2,4,11,0,0,0,1965,B02
200500000008,1,1,3,1,5,11,0,0,0,1978,A01
200500000009,1,1,4,1,1,11,0,0,0,1966,A01
200500000009,1,1,3,1,5,11,0,0,0,1925,B02
200500000009,2,2,4,2,0,11,0,0,0,1926,B02
200500000010,1,1,1,1,5,11,0,0,0,1950,A01
200500000010,0,3,3,1,5,00,2,3,2,1962,A01
200500000011,1,1,1,1,5,11,0,0,0,1972,A01
200500000011,1,1,4,2,5,11,0,0,0,1974,B02
200500000011,4,2,4,1,0,11,0,0,0,1986,B02
200500000011,2,2,4,2,0,11,0,0,0,1984,B02
200500000012,1,1,4,1,5,11,0,0,0,1986,A01
200500000013,1,1,4,2,1,11,0,0,0,1971,A01
200500000014,1,1,1,1,2,11,0,0,0,1985,A01
200500000014,2,2,1,2,0,11,0,0,0,1987,A01
200500000014,0,3,3,2,5,00,4,3,1,1936,A01
200500000015,0,3,3,2,3,00,2,1,1,1938,A01
200500000016,1,1,2,1,5,11,0,0,0,1980,A01
200500000016,2,2,3,1,0,11,0,0,0,1986,A01
200500000016,1,1,4,1,1,11,0,0,0,1957,B02
200500000017,1,1,1,1,5,11,0,0,0,1960,A01
200500000017,1,1,3,1,5,21,0,0,0,1976,B02
200500000018,1,1,1,2,1,11,0,0,0,1976,A01
200500000018,1,1,3,2,1,11,0,0,0,1968,B02
200500000019,1,1,3,1,5,21,0,0,0,1983,A01
200500000019,1,1,1,2,5,11,0,0,0,1952,B02
200500000020,1,1,1,1,1,11,0,0,0,1956,A01
200500000020,0,3,4,1,5,00,1,3,2,1952,A01
200500000020,0,3,4,1,5,00,1,3,2,1949,A01
200500000021,1,1,1,2,1,11,0,0,0,1963,A01
200500000021,1,1,4,1,1,21,0,0,0,1989,B02
200500000022,1,1,1,1,5,11,0,0,0,1966,A01
200500000022,1,1,2,1,5,12,0,0,0,1955,B02
200500000023,1,1,3,1,0,21,0,0,0,1989,A01
200500000023,1,1,1,2,9,11,0,0,0,1953,B02
200500000024,1,1,4,1,5,11,0,0,0,1984,A01
200500000024,1,2,1,2,0,11,0,0,0,1986,A01
200500000024,1,1,3,1,5,11,0,0,0,1963,B02
200500000025,1,1,1,1,4,11,0,0,0,1952,A01
200500000025,0,3,2,2,5,00,1,3,1,1935,A01
200500000026,1,1,1,1,5,11,0,0,0,1984,A01
200500000026,2,2,1,1,0,11,0,0,0,1985,A01
200500000026,0,3,3,2,1,00,4,3,1,1973,A01
200500000027,1,1,4,1,9,11,0,0,0,1979,A01
200500000027,1,1,3,1,5,11,0,0,0,1953,B02
200500000027,2,2,4,1,0,11,0,0,0,1985,B02
200500000028,1,1,4,1,1,11,0,0,0,1974,A01
200500000028,1,1,1,1,5,11,0,0,0,1962,B02
200500000028,2,2,1,1,0,11,0,0,0,1987,B02
200500000028,3,2,4,1,0,11,0,0,0,1987,B02
200500000028,8,2,4,2,0,11,0,0,0,1985,B02
200500000028,4,2,4,2,0,11,0,0,0,1986,B02
200500000029,1,1,2,1,5,13,0,0,0,1980,A01
200500000029,2,2,2,1,0,13,0,0,0,1942,A01
200500000029,1,1,4,1,4,11,0,0,0,1958,B02
200500000030,1,1,1,1,1,13,0,0,0,1970,A01
200500000030,1,1,4,1,5,00,0,0,0,1947,B02
200500000031,1,1,1,1,5,11,0,0,0,1966,A01
200500000031,1,1,1,1,5,11,0,0,0,1969,B02
200500000031,1,1,3,2,5,11,0,0,0,1971,C03
200500000031,2,2,4,2,0,11,0,0,0,1972,C03
200500000031,1,1,4,1,5,11,0,0,0,1982,D04
