Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500000001,0,07,000,00,2,1,01,A01
200500000001,0,07,000,00,2,8,10,B02
200500000002,0,07,000,00,2,7,16,A01
200500000002,0,02,000,00,2,1,01,B02
200500000003,0,02,000,00,2,1,01,A01
200500000003,0,02,000,00,2,1,01,B02
200500000004,0,07,000,00,2,1,13,A01
200500000004,0,07,000,00,2,0,01,B02
200500000004,0,07,000,00,2,8,01,C03
200500000005,0,07,000,06,0,8,01,A01
200500000006,0,07,000,08,0,7,01,A01
200500000007,0,09,000,00,2,3,19,A01
200500000007,0,07,000,00,2,2,01,B02
200500000008,0,07,000,08,0,8,14,A01
200500000009,0,07,000,00,2,1,01,A01
200500000009,0,07,000,00,2,8,19,B02
200500000010,0,07,000,00,0,2,01,A01
200500000011,0,07,000,00,2,2,17,A01
200500000011,0,07,000,00,0,8,01,B02
200500000012,0,07,000,06,0,1,00,A01
200500000013,0,07,000,02,0,3,01,A01
200500000014,0,07,000,00,1,1,01,A01
200500000015,1,07,000,00,1,2,02,A01
200500000016,0,07,000,00,2,7,01,A01
200500000016,0,07,000,00,2,1,01,B02
200500000017,0,07,000,00,2,2,15,A01
200500000017,0,05,000,00,2,1,01,B02
200500000018,0,07,000,00,2,1,05,A01
200500000018,0,07,000,00,2,1,02,B02
200500000019,0,05,000,00,2,1,13,A01
200500000019,0,07,000,00,9,3,15,B02
200500000020,0,07,000,00,1,2,15,A01
200500000021,0,07,000,00,2,2,20,A01
200500000021,0,02,000,00,2,1,01,B02
200500000022,0,07,000,00,2,1,01,A01
200500000022,0,07,000,00,2,6,01,B02
200500000023,0,02,000,00,2,1,17,A01
200500000023,0,07,000,00,2,3,15,B02
200500000024,0,07,000,00,2,3,01,A01
200500000024,0,07,000,00,2,3,01,B02
200500000025,0,18,001,00,1,2,01,A01
200500000026,0,07,000,00,2,1,21,A01
200500000027,0,07,000,00,0,3,17,A01
200500000027,0,07,000,00,2,3,21,B02
200500000028,0,07,000,00,2,1,15,A01
200500000028,0,07,000,00,2,4,00,B02
200500000029,0,07,000,00,2,3,01,A01
200500000029,0,17,000,00,2,1,01,B02
200500000030,0,18,000,00,2,7,17,A01
200500000030,0,01,000,00,2,8,11,B02
200500000031,0,07,000,00,0,1,01,A01
200500000031,0,07,000,00,0,4,23,B02
200500000031,0,07,000,00,0,4,23,C03
200500000031,0,07,000,00,0,4,23,D04
200500000031,0,07,000,00,0,4,23,E05
200500000032,0,07,000,00,2,7,19,A01
200500000032,0,07,000,00,2,1,01,B02
200500000033,0,07,000,06,0,7,01,A01
200500000034,0,10,000,00,9,3,15,A01
200500000034,0,01,000,00,2,1,01,B02
200500000035,0,07,000,01,0,1,01,A01
200500000035,0,07,000,00,0,4,24,B02
200500000036,0,07,000,01,0,2,01,A01
200500000036,0,07,000,00,0,5,24,B02
200500000037,0,07,000,00,0,2,02,A01
200500000037,0,04,000,00,0,4,02,B02
200500000038,0,07,000,00,2,7,04,A01
200500000038,0,04,000,00,2,1,01,B02
200500000039,0,07,000,00,0,3,01,A01
200500000040,0,07,000,02,0,3,13,A01
200500000041,0,07,000,13,0,1,01,A01
200500000042,0,07,000,02,0,8,01,A01
200500000043,0,02,000,00,2,1,05,A01
200500000043,0,15,000,00,2,1,05,B02
200500000044,0,02,000,00,2,1,19,B02
200500000044,0,07,000,00,2,8,01,A01
200500000045,0,07,000,00,2,3,11,A01
200500000045,0,02,000,00,2,6,01,B02
200500000046,0,07,000,00,1,3,11,A01
200500000047,0,07,000,00,1,3,01,A01
200500000048,0,07,000,00,1,7,01,A01
200500000049,0,07,000,02,0,1,01,A01
200500000050,0,07,000,03,4,0,01,A01
200500000050,0,19,000,00,2,2,01,B02
200500000051,0,07,000,01,0,9,01,A01
200500000052,0,07,000,00,2,3,13,A01
200500000052,0,07,000,00,2,3,01,B02
200500000053,0,07,000,02,0,1,01,A01
200500000054,0,07,000,00,2,1,05,A01
200500000054,0,07,000,00,2,1,05,B02
200500000055,0,07,000,00,2,8,05,A01
200500000055,0,07,000,00,2,1,05,B02
200500000056,0,02,000,00,2,4,01,A01
200500000056,0,07,000,16,2,2,01,B02
200500000057,0,02,000,00,2,1,01,A01
200500000057,0,14,000,00,2,2,19,B02
200500000058,0,07,000,00,2,1,01,B02
200500000058,0,07,000,00,2,8,19,A01
200500000059,0,07,000,00,0,1,01,A01
200500000060,0,07,000,00,5,2,01,A01
200500000061,0,07,000,00,2,3,13,A01
200500000061,0,17,000,00,2,8,01,B02
200500000062,0,07,000,00,2,1,02,A01
200500000062,0,07,000,00,0,6,15,B02
200500000063,0,07,000,00,2,7,19,A01
200500000063,0,15,000,00,2,3,01,B02
200500000064,0,07,000,00,2,2,15,A01
200500000064,0,02,000,00,2,1,01,B02
200500000065,0,07,000,11,0,1,01,A01
200500000066,0,05,000,00,2,1,17,A01
200500000066,0,07,000,00,0,4,01,B02
200500000067,0,07,000,00,2,7,19,A01
200500000067,0,07,000,00,2,1,01,B02
200500000068,0,07,000,00,0,1,01,A01
200500000069,0,07,000,00,1,1,01,A01
200500000070,0,07,000,00,0,8,23,A01
200500000070,0,07,000,00,0,3,13,B02
200500000071,0,07,000,00,1,2,01,A01
200500000072,0,05,000,00,0,2,17,A01
200500000072,0,07,000,00,0,8,15,B02
200500000073,0,07,000,00,2,3,01,A01
200500000073,0,02,000,00,2,4,01,B02
200500000074,0,07,000,00,1,1,02,A01
200500000075,0,07,000,00,2,6,19,B02
200500000075,0,05,000,00,2,1,01,A01
200500000076,0,07,000,00,0,9,16,A01
200500000077,0,07,000,16,0,9,01,A01
200500000078,0,07,000,00,2,2,15,A01
200500000078,0,01,000,00,2,1,01,B02
200500000079,0,07,000,00,2,6,13,A01
200500000079,0,02,000,00,2,1,17,B02
200500000080,0,07,000,01,0,1,01,A01
200500000081,0,07,000,06,0,2,01,A01
200500000082,0,07,000,06,0,9,13,A01
200500000083,0,07,000,00,2,1,17,A01
200500000083,0,07,000,00,0,8,10,B02
200500000084,0,07,000,00,1,3,01,A01
200500000085,0,07,000,08,0,9,01,A01
200500000086,0,04,000,00,0,1,16,A01
200500000087,0,07,000,00,2,3,15,A01
200500000087,0,07,000,00,2,3,01,B02
200500000088,0,07,000,00,2,3,13,A01
200500000088,0,07,000,00,2,3,01,B02
200500000089,0,15,000,00,1,1,01,A01
200500000090,0,07,000,00,2,3,13,A01
200500000090,0,07,000,00,2,3,01,B02
200500000091,0,07,000,00,2,3,19,A01
200500000091,0,02,000,00,2,1,01,B02
200500000092,0,07,000,13,0,8,01,A01
200500000093,0,07,000,00,2,3,21,A01
200500000093,0,01,000,00,2,3,21,B02
200500000094,0,15,000,00,2,1,01,A01
200500000094,0,07,000,00,2,1,01,B02
200500000094,0,07,000,00,2,1,01,C03
200500000095,0,07,000,13,0,1,01,A01
200500000096,0,07,000,06,0,1,01,A01
200500000097,0,07,000,00,2,3,20,A01
200500000097,0,02,000,00,2,1,01,B02
200500000098,0,07,000,08,0,1,01,A01
200500000099,0,07,000,00,2,1,01,A01
200500000099,0,07,000,00,2,1,05,B02
200500000100,0,07,000,00,2,3,13,A01
200500000100,0,07,000,00,2,3,01,B02
200500000100,0,07,000,13,0,1,01,C03
200500000101,0,07,000,00,2,1,02,A01
200500000101,0,07,000,00,2,6,02,B02
200500000101,0,07,000,00,2,3,01,C03
200500000102,0,07,000,16,0,7,01,A01
200500000103,0,07,000,00,0,9,01,A01
200500000104,0,07,000,13,0,1,01,A01
200500000105,0,07,000,00,2,2,02,A01
200500000105,0,05,000,00,2,6,02,B02
200500000106,0,07,000,02,0,1,13,A01
200500000107,0,07,000,00,2,3,01,A01
200500000107,0,07,000,00,2,3,01,B02
200500000108,0,07,000,00,0,9,01,A01
200500000109,0,07,000,00,2,1,05,A01
200500000109,0,07,000,00,2,1,01,B02
200500000110,0,07,000,00,0,8,19,A01
200500000110,0,07,000,00,2,1,01,B02
200500000111,0,07,000,00,2,3,05,A01
200500000111,0,05,000,00,0,0,00,B02
200500000112,0,02,000,00,2,7,00,A01
200500000112,0,07,000,00,2,3,00,B02
200500000113,0,07,000,16,0,0,01,A01
200500000114,0,07,000,00,2,3,01,A01
200500000114,0,07,000,00,0,8,19,B02
200500000115,0,07,000,13,0,1,14,A01
200500000116,0,02,000,00,2,8,18,A01
200500000116,0,15,000,00,2,8,01,B02
200500000117,0,07,000,13,0,1,01,A01
200500000118,0,07,000,00,2,7,13,A01
200500000118,0,07,000,00,2,1,01,B02
200500000118,0,07,000,00,2,1,01,C03
200500000118,0,07,000,00,2,1,01,D04
200500000118,0,07,000,00,2,4,01,E05
200500000119,0,07,000,00,2,8,01,A01
200500000120,0,07,000,00,2,3,01,A01
200500000120,0,07,000,00,2,3,01,B02
200500000121,0,07,000,00,2,3,15,A01
200500000121,0,05,000,00,2,1,01,B02
200500000122,0,07,000,00,0,1,13,A01
200500000123,0,07,000,02,0,3,01,A01
200500000124,0,07,000,00,0,4,15,A01
200500000124,0,07,000,00,2,1,01,B02
200500000125,0,07,000,00,2,1,13,A01
200500000125,0,07,000,00,2,1,01,B02
200500000125,0,07,000,00,2,6,01,C03
200500000126,0,07,000,00,2,4,01,A01
200500000126,0,07,000,00,2,8,01,B02
200500000126,0,07,000,00,2,1,02,C03
200500000127,0,07,000,00,0,0,00,A01
200500000127,0,17,000,00,0,0,01,B02
200500000128,0,07,000,00,2,5,15,A01
200500000128,0,07,000,00,2,2,01,B02
200500000128,0,07,000,00,2,1,01,C03
200500000129,0,07,000,00,1,1,01,A01
200500000130,0,07,000,00,2,9,01,A01
200500000130,0,07,000,00,2,1,19,B02
200500000130,0,07,000,00,2,1,23,C03
200500000131,0,02,000,00,2,1,17,A01
200500000131,0,07,000,00,2,3,15,B02
200500000132,0,07,000,13,0,1,01,A01
200500000133,0,07,000,06,2,8,19,B02
200500000133,0,07,000,00,2,1,01,A01
200500000134,0,07,000,00,2,1,13,A01
200500000134,0,07,000,00,2,1,01,B02
200500000135,0,07,000,00,2,2,17,A01
200500000135,0,07,000,00,2,3,01,B02
200500000135,0,07,000,00,2,1,01,C03
200500000136,0,07,000,02,2,1,01,A01
200500000137,0,07,000,00,2,1,15,A01
200500000137,0,07,000,00,2,1,01,B02
200500000138,0,07,000,08,0,8,17,A01
200500000139,0,07,000,00,0,1,01,A01
200500000139,0,07,000,00,0,4,01,B02
200500000139,0,07,000,00,0,4,01,C03
200500000139,0,07,000,00,0,4,01,D04
200500000139,0,07,000,00,0,4,01,E05
200500000140,0,07,000,00,2,1,15,A01
200500000140,0,02,000,00,0,7,01,B02
200500000141,0,07,000,00,0,0,01,A01
200500000142,0,07,000,00,2,3,01,A01
200500000142,0,07,000,00,2,2,00,B02
200500000143,0,07,000,00,2,1,15,A01
200500000143,0,07,000,00,2,1,00,B02
200500000144,0,07,000,00,0,1,01,A01
200500000144,0,02,000,00,0,0,01,B02
200500000145,0,07,000,00,2,3,09,A01
200500000145,0,02,000,00,2,7,01,B02
200500000146,0,07,000,00,0,9,01,A01
200500000147,0,10,000,00,2,1,02,A01
200500000147,0,07,000,00,0,4,23,B02
200500000148,0,07,000,00,0,4,02,B02
200500000149,0,07,000,00,1,3,01,A01
200500000150,0,07,000,00,2,1,21,A01
200500000150,0,07,000,00,0,1,01,B02
200500000151,0,05,000,00,2,1,00,A01
200500000151,0,07,000,00,2,4,00,B02
200500000152,0,07,000,00,1,3,01,A01
200500000153,0,07,000,00,2,1,17,A01
200500000153,0,07,000,00,2,1,01,B02
200500000154,0,07,000,00,2,1,01,B02
200500000154,0,07,000,00,2,7,19,A01
200500000155,0,07,000,00,2,3,01,A01
200500000155,0,10,000,00,2,3,01,B02
200500000156,0,07,000,02,0,8,01,A01
200500000157,0,07,000,00,0,3,01,A01
200500000158,0,07,000,16,0,2,01,A01
200500000159,0,07,000,00,2,2,01,A01
200500000159,0,02,000,00,0,4,01,B02
200500000160,0,02,000,00,0,1,01,A01
200500000160,0,07,000,00,0,7,19,B02
200500000161,0,07,000,00,1,1,01,A01
200500000162,0,07,000,00,1,1,15,A01
200500000163,0,07,000,16,0,0,15,A01
200500000164,0,07,000,00,1,3,01,A01
200500000165,0,07,000,00,0,0,00,A01
200500000166,0,07,000,00,1,2,01,A01
200500000167,0,07,000,13,0,7,01,A01
200500000168,0,07,000,00,2,3,23,A01
200500000168,0,07,000,00,0,1,01,B02
200500000168,0,07,000,00,2,2,15,C03
200500000169,0,07,000,00,2,1,02,B02
200500000169,0,07,000,00,2,7,02,A01
200500000170,0,01,000,00,2,4,02,A01
200500000170,1,10,000,00,2,2,02,B02
200500000171,0,07,000,00,2,8,00,A01
200500000171,0,07,000,00,2,2,19,B02
200500000172,0,07,000,00,2,7,19,A01
200500000172,0,05,000,00,2,1,01,B02
200500000173,0,07,000,00,2,2,01,A01
200500000173,0,07,000,00,2,1,15,B02
200500000174,0,07,000,06,0,8,01,A01
200500000175,0,07,000,00,2,1,01,A01
200500000175,0,07,000,00,2,4,23,B02
200500000175,0,07,000,00,2,4,23,C03
200500000176,0,05,000,00,2,3,01,A01
200500000176,0,10,000,00,0,6,01,B02
200500000177,0,07,000,00,2,2,19,A01
200500000177,0,07,000,00,2,8,01,B02
200500000178,0,17,000,00,2,2,13,A01
200500000178,0,17,000,00,2,3,01,C03
200500000179,0,07,000,00,2,2,20,A01
200500000179,0,02,000,00,2,1,01,B02
200500000180,0,07,000,13,0,2,01,A01
200500000181,0,10,000,00,1,2,01,A01
200500000182,0,07,000,00,0,2,15,A01
200500000182,0,07,000,00,0,1,01,B02
200500000183,0,07,000,00,2,1,21,A01
200500000183,0,05,000,00,2,1,21,B02
200500000184,0,07,000,00,2,3,01,A01
200500000184,0,02,000,00,2,8,23,B02
200500000185,0,07,000,08,0,3,13,A01
200500000186,0,07,000,00,2,3,01,A01
200500000186,0,07,000,00,2,1,15,B02
200500000187,0,07,000,00,2,1,15,A01
200500000187,0,02,000,00,2,1,17,B02
200500000188,0,07,000,13,0,2,01,A01
200500000189,0,07,000,02,0,2,01,A01
200500000190,0,07,000,00,1,2,00,A01
200500000191,0,07,000,00,2,3,15,A01
200500000191,0,05,000,00,2,1,01,B02
200500000192,0,07,000,00,0,8,00,B02
200500000193,0,07,000,00,0,0,01,A01
200500000194,0,05,000,06,0,1,00,A01
200500000195,0,07,000,00,2,3,02,A01
200500000195,0,02,000,00,2,4,02,B02
200500000196,0,07,000,06,0,1,01,A01
200500000197,0,07,000,00,6,1,00,A01
200500000198,0,07,000,00,2,3,15,A01
200500000198,0,02,000,00,2,1,01,B02
200500000199,0,07,000,00,0,1,01,A01
200500000200,0,07,000,13,0,1,19,A01
200500000201,0,05,000,00,0,8,02,A01
200500000202,0,02,000,00,2,4,13,A01
200500000202,0,07,000,00,2,3,01,B02
200500000203,0,07,000,00,2,2,17,A01
200500000203,0,07,000,00,0,8,15,B02
200500000204,0,07,000,00,0,1,15,A01
200500000204,0,07,000,00,0,3,01,B02
200500000205,0,07,000,00,2,2,01,A01
200500000205,0,07,000,00,2,1,00,B02
200500000206,0,07,000,08,0,2,01,A01
200500000207,0,05,000,00,2,5,01,A01
200500000207,0,07,000,01,0,1,01,B02
200500000208,0,07,000,13,0,3,01,A01
200500000209,0,07,000,11,0,1,01,A01
200500000210,0,07,000,02,0,8,19,A01
200500000211,0,07,000,00,0,6,00,A01
200500000212,0,07,000,00,2,2,15,A01
200500000212,0,05,000,00,2,1,21,B02
200500000212,0,07,000,00,2,1,21,C03
200500000213,0,07,000,00,1,1,01,A01
200500000214,0,07,000,00,0,7,15,B02
200500000214,0,13,000,00,2,2,01,A01
200500000215,0,07,000,08,0,3,01,A01
200500000216,0,07,000,00,2,1,17,A01
200500000216,0,14,000,00,2,3,01,B02
200500000216,0,15,000,00,2,6,01,C03
200500000216,0,15,000,00,0,1,01,D04
200500000217,0,17,000,00,2,6,01,A01
200500000217,0,13,000,00,2,3,01,B02
200500000218,0,07,000,00,2,2,01,A01
200500000218,0,04,000,00,0,4,01,B02
200500000219,0,04,000,00,2,1,19,A01
200500000219,0,07,000,00,2,2,01,B02
200500000220,0,02,000,00,2,3,01,A01
200500000220,0,02,000,00,2,3,01,B02
200500000221,0,02,000,00,2,1,01,A01
200500000221,0,07,000,00,0,4,15,B02
200500000222,0,02,000,00,2,8,15,A01
200500000222,0,13,000,00,2,7,17,B02
200500000223,0,07,000,00,2,3,09,A01
200500000223,0,02,000,00,2,1,01,B02
