Num_Acc	an	mois	jour	hrmn	lum	agg	int	atm	col	com	adr	gps	lat	long	dep
200900000001	9	1	30	2030	3	1	1	1	6	67	RTE DE GU�MEN�	M	0	0	440
200900000002	9	1	17	300	3	1	1	1	3	17	LE BOIS JOLI	M	0	0	440
200900000003	9	1	29	645	3	1	1	1	3	52		M	0	0	440
200900000004	9	1	4	615	3	1	1	9	6	44	LE BECO	M	0	0	440
200900000005	9	1	16	1500	1	1	1	1	7	36	MOULIN DE LA GARENNE	M	0	0	440
200900000006	9	1	28	1700	1	1	1	2	7	56	SOLFERINO	M	0	0	440
200900000007	9	1	5	1145	1	1	1	2	7	224		M	0	0	440
200900000008	9	1	29	1900	3	1	1	1	6	70	34 RUE DE LA HAUTE CARIZ	M	4	-	440
200900000009	9	1	13	1345	1	2	1	5	1	26	RD 723 ROUTE DE PARIS	M	0	0	440
200900000010	9	1	14	645	3	1	1	9	6	217	LA MADELEINE	M	0	0	440
200900000011	9	1	23	1400	1	2	6	1	1	154	RD PT ANCIENS COMBATTANT	M	4	-	440
200900000012	9	1	31	1900	3	1	1	1	7	145	LA BROUINIERE	M	0	0	440
200900000013	9	1	20	745	3	1	1	1	6	114	LA PAQUELAIS	M	0	0	440
200900000014	9	1	20	730	5	2	1	3	6	186	17 RUE DE L'HOTEL DE VIL	M	0	0	440
200900000015	9	1	23	745	2	2	1	9	6	47	121 BD DE LA LIBERATION	M	4	-	440
200900000016	9	1	14	845	2	1	1	5	1	118		M	0	0	440
200900000017	9	1	24	1800	1	1	1	1	3	56	VILHOUIN	M	0	0	440
200900000018	9	1	1	315	3	1	1	1	6	99	LA TOUCHE	M	0	0	440
200900000019	9	1	30	1100	1	1	1	1	1	131	LE MARAIS MAINGUY	M	0	0	440
200900000020	9	1	1	30	5	2	1	1	2	110	AVENUE CLAUDE VELLEFAUX				750
200900000021	9	1	18	1859	5	2	2	1	3	108	RUE DE L ARCADE				750
200900000022	9	1	19	1145	1	2	1	1	2	104	17, BOULEVARD MORLAND				750
200900000023	9	1	27	2005	5	2	4	1	3	103	70, RUE DE TURBIGO				750
200900000024	9	1	23	1520	1	2	3	1	3	115	71, QUAI BRANLY				750
200900000025	9	1	8	1420	1	2	3	1	6	113	118, AVENUE DE FRANCE				750
200900000026	9	1	15	1905	5	2	3	1	6	105	RUE SAINT JACQUES				750
200900000027	9	1	26	1116	1	2	1	1	6	119	1, BOULEVARD MACDONALD				750
200900000028	9	1	21	2120	5	2	3	1	3	117	5, PLACE DE CLICHY				750
200900000029	9	1	24	1815	5	2	1	1	6	102	13, PLACE DE LA BOURSE				750
200900000030	9	1	8	1630	1	2	2	1	3	115	44, AVENUE FELIX FAURE				750
200900000031	9	1	12	150	4	2	1	1	6	120	ECHANGEUR BAGNOLET				750
200900000032	9	1	5	2120	5	2	5	2	3	119	PLACE DE LA PORTE DE PAN				750
200900000033	9	1	21	750	2	2	2	1	3	118	BOULEVARD DE CLICHY				750
200900000034	9	1	29	1600	1	2	2	1	2	109	RUE DE PROVENCE				750
200900000035	9	1	13	2320	5	2	2	1	3	106	107, BOULEVARD SAINT GER				750
200900000036	9	1	10	1607	1	2	3	1	3	111	RUE FAIDHERBE				750
200900000037	9	1	23	2055	5	2	1	1	2	105	99, RUE MONGE				750
200900000038	9	1	14	725	3	2	2	2	7	101	RUE DE RIVOLI				750
200900000039	9	1	26	1420	1	2	1	1	3	107	8, RUE SAINT DOMINIQUE				750
200900000040	9	1	11	1530	1	2	3	1	3	101	16, QUAI DES TUILERIES				750
200900000041	9	1	22	1745	5	2	5	2	6	119	54, BOULEVARD SERURIER				750
200900000042	9	1	21	1735	1	2	1	1	3	111	BOULEVARD VOLTAIRE				750
200900000043	9	1	19	1530	1	2	1	2	3	120	256, RUE DE BELLEVILLE				750
200900000044	9	1	29	1545	1	2	1	1	6	110	63, BOULEVARD DE MAGENTA				750
200900000045	9	1	5	1120	1	2	4	4	7	117	13ter, BOULEVARD BERTHIE				750
200900000046	9	1	17	1955	5	2	3	8	3	117	88, AVENUE DE CLICHY				750
200900000047	9	1	18	2030	5	2	5	1	6	118	63, RUE RAMEY				750
200900000048	9	1	22	1020	1	2	1	2	7	115	RUE LEBLANC				750
200900000049	9	1	14	1202	1	2	1	8	6	118	43, RUE DU DEPARTEMENT				750
200900000050	9	1	25	1915	5	2	1	1	3	119	112, AVENUE DE FLANDRE				750
200900000051	9	1	12	915	1	2	1	1	7	109	100, RUE SAINT LAZARE				750
200900000052	9	1	14	1800	5	2	1	1	3	111	RUE DE L ORILLON				750
200900000053	9	1	19	1820	5	2	1	9	7	104	23, BOULEVARD BOURDON				750
200900000054	9	1	31	1215	1	2	3	1	7	113	BOULEVARD AUGUSTE BLANQU				750
200900000055	9	1	26	1245	1	2	1	1	6	117	4, RUE HELENE				750
200900000056	9	1	19	1030	1	2	1	2	2	117	BOULEVARD BESSIERES				750
200900000057	9	1	5	1245	1	2	2	4	6	106	58, BOULEVARD RASPAIL				750
200900000058	9	1	30	1655	1	2	1	1	3	112	AVENUE DES MINIMES				750
200900000059	9	1	8	1200	1	2	1	8	6	118	82, RUE DE LA CHAPELLE				750
200900000060	9	1	23	1520	1	2	5	1	3	108	39, AVENUE GEORGE V				750
200900000061	9	1	23	810	1	2	2	2	6	102	RUE MONTMARTRE				750
