annee;accidents;variation_pct;variation_depuis_2005_pct
2005;87026;;0.00
2006;82993;-4.63;-4.63
2007;83850;1.03;-3.65
2008;76767;-8.45;-11.79
2009;74409;-3.07;-14.50
2010;69379;-6.76;-20.28
2011;66974;-3.47;-23.04
2012;62250;-7.05;-28.47
2013;58397;-6.19;-32.90
2014;59854;2.49;-31.22
2015;58654;-2.00;-32.60
2016;59432;1.33;-31.71
2017;60701;2.14;-30.25
2018;57783;-4.81;-33.60
2019;58840;1.83;-32.39
2020;47744;-18.86;-45.14
2021;56518;18.38;-35.06
2022;55302;-2.15;-36.45
2023;54822;-0.87;-37.01
2024;54402;-0.77;-37.49
