annee;indemnes;tues;hospitalises;legers;non_renseigne;victimes
2005;80272;5543;40792;70891;0;117226
2006;76163;4942;41869;64111;0;110922
2007;76910;4838;39754;66955;0;111547
2008;69612;4443;36179;60726;0;101348
2009;67806;4443;34506;59207;0;98156
2010;62847;4172;31337;55836;0;91345
2011;60560;4111;30635;53237;0;87983
2012;56577;3842;28107;50102;0;82051
2013;52622;3427;26895;45750;0;76072
2014;53487;3557;27502;47640;0;78699
2015;53378;3616;27717;45667;0;77000
2016;54640;3655;28376;46751;0;78782
2017;56270;3600;28993;47158;0;79751
2018;54248;3392;22169;50360;0;75921
2019;55314;3498;20858;53307;0;77663
2020;43267;2780;16775;42473;0;62028
2021;55143;3219;19093;51733;60;74045
2022;53630;3550;19260;49981;241;72791
2023;53399;3398;19271;49603;118;72272
2024;52920;3432;19126;49709;0;72267
